,pseudotime
cell_145,0.24207011686143573
cell_146,0.24373956594323873
cell_147,0.24540901502504175
cell_148,0.24707846410684475
cell_149,0.24874791318864775
cell_150,0.25041736227045075
cell_151,0.25208681135225375
cell_152,0.25375626043405675
cell_153,0.2554257095158598
cell_154,0.2570951585976628
cell_155,0.2587646076794658
cell_156,0.2604340567612688
cell_157,0.2621035058430718
cell_158,0.2637729549248748
cell_159,0.2654424040066778
cell_160,0.2671118530884808
cell_161,0.2687813021702838
cell_162,0.27045075125208684
cell_163,0.27212020033388984
cell_164,0.27378964941569284
cell_165,0.27545909849749584
cell_166,0.27712854757929883
cell_167,0.27879799666110183
cell_168,0.28046744574290483
cell_169,0.28213689482470783
cell_170,0.2838063439065109
cell_171,0.2854757929883139
cell_172,0.2871452420701169
cell_173,0.2888146911519199
cell_174,0.2904841402337229
cell_175,0.2921535893155259
cell_176,0.2938230383973289
cell_177,0.29549248747913187
cell_178,0.2971619365609349
cell_179,0.2988313856427379
cell_180,0.3005008347245409
cell_181,0.3021702838063439
cell_182,0.3038397328881469
cell_183,0.3055091819699499
cell_184,0.3071786310517529
cell_185,0.3088480801335559
cell_186,0.31051752921535897
cell_187,0.31218697829716197
cell_188,0.31385642737896496
cell_189,0.31552587646076796
cell_190,0.31719532554257096
cell_191,0.31886477462437396
cell_192,0.32053422370617696
cell_193,0.32220367278797996
cell_194,0.32387312186978295
cell_195,0.325542570951586
cell_196,0.327212020033389
cell_197,0.328881469115192
cell_198,0.330550918196995
cell_199,0.332220367278798
cell_200,0.333889816360601
cell_201,0.335559265442404
cell_202,0.337228714524207
cell_203,0.33889816360601005
cell_204,0.34056761268781305
cell_205,0.34223706176961605
cell_206,0.34390651085141904
cell_207,0.34557595993322204
cell_208,0.34724540901502504
cell_209,0.34891485809682804
cell_210,0.35058430717863104
cell_211,0.3522537562604341
cell_212,0.3539232053422371
cell_213,0.3555926544240401
cell_214,0.3572621035058431
cell_215,0.3589315525876461
cell_216,0.3606010016694491
cell_217,0.3622704507512521
cell_218,0.3639398998330551
cell_219,0.36560934891485813
cell_220,0.36727879799666113
cell_221,0.36894824707846413
cell_222,0.37061769616026713
cell_223,0.3722871452420701
cell_224,0.3739565943238731
cell_225,0.3756260434056761
cell_226,0.3772954924874791
cell_227,0.3789649415692821
cell_228,0.3806343906510852
cell_229,0.3823038397328882
cell_230,0.38397328881469117
cell_231,0.38564273789649417
cell_232,0.38731218697829717
cell_233,0.38898163606010017
cell_234,0.39065108514190316
cell_235,0.39232053422370616
cell_236,0.3939899833055092
cell_237,0.3956594323873122
cell_238,0.3973288814691152
cell_239,0.3989983305509182
cell_240,0.4006677796327212
cell_241,0.4023372287145242
cell_242,0.4040066777963272
cell_243,0.4056761268781302
cell_244,0.40734557595993326
cell_245,0.40901502504173626
cell_246,0.41068447412353926
cell_247,0.41235392320534225
cell_248,0.41402337228714525
cell_249,0.41569282136894825
cell_250,0.41736227045075125
cell_251,0.41903171953255425
cell_252,0.4207011686143573
cell_253,0.4223706176961603
cell_254,0.4240400667779633
cell_255,0.4257095158597663
cell_256,0.4273789649415693
cell_257,0.4290484140233723
cell_258,0.4307178631051753
cell_259,0.4323873121869783
cell_260,0.4340567612687813
cell_261,0.43572621035058434
cell_262,0.43739565943238734
cell_263,0.43906510851419034
cell_264,0.44073455759599334
cell_265,0.44240400667779634
cell_266,0.44407345575959933
cell_267,0.44574290484140233
cell_268,0.44741235392320533
cell_269,0.4490818030050084
cell_270,0.4507512520868114
cell_271,0.4524207011686144
cell_272,0.4540901502504174
cell_273,0.4557595993322204
cell_274,0.4574290484140234
cell_275,0.4590984974958264
cell_276,0.4607679465776294
cell_277,0.4624373956594324
cell_278,0.4641068447412354
cell_279,0.4657762938230384
cell_280,0.4674457429048414
cell_281,0.4691151919866444
cell_282,0.4707846410684474
cell_283,0.4724540901502504
cell_284,0.4741235392320534
cell_285,0.47579298831385647
cell_286,0.47746243739565947
cell_287,0.47913188647746247
cell_288,0.48080133555926546
cell_289,0.48247078464106846
cell_290,0.48414023372287146
cell_291,0.48580968280467446
cell_292,0.48747913188647746
cell_293,0.48914858096828046
cell_294,0.4908180300500835
cell_295,0.4924874791318865
cell_296,0.4941569282136895
cell_297,0.4958263772954925
cell_298,0.4974958263772955
cell_299,0.4991652754590985
cell_300,0.5008347245409015
cell_301,0.5025041736227045
cell_302,0.5041736227045075
cell_303,0.5058430717863105
cell_304,0.5075125208681135
cell_305,0.5091819699499165
cell_306,0.5108514190317196
cell_307,0.5125208681135226
cell_308,0.5141903171953256
cell_309,0.5158597662771286
cell_310,0.5175292153589316
cell_311,0.5191986644407346
cell_312,0.5208681135225376
cell_313,0.5225375626043406
cell_314,0.5242070116861436
cell_315,0.5258764607679466
cell_316,0.5275459098497496
cell_317,0.5292153589315526
cell_318,0.5308848080133556
cell_319,0.5325542570951586
cell_320,0.5342237061769616
cell_321,0.5358931552587646
cell_322,0.5375626043405676
cell_323,0.5392320534223707
cell_324,0.5409015025041737
cell_325,0.5425709515859767
cell_326,0.5442404006677797
cell_327,0.5459098497495827
cell_328,0.5475792988313857
cell_329,0.5492487479131887
cell_330,0.5509181969949917
cell_331,0.5525876460767947
cell_332,0.5542570951585977
cell_333,0.5559265442404007
cell_334,0.5575959933222037
cell_335,0.5592654424040067
cell_336,0.5609348914858097
cell_337,0.5626043405676127
cell_338,0.5642737896494157
cell_339,0.5659432387312188
cell_340,0.5676126878130218
cell_341,0.5692821368948248
cell_342,0.5709515859766278
cell_343,0.5726210350584308
cell_344,0.5742904841402338
cell_345,0.5759599332220368
cell_346,0.5776293823038398
cell_347,0.5792988313856428
cell_348,0.5809682804674458
cell_349,0.5826377295492488
cell_350,0.5843071786310517
cell_351,0.5859766277128547
cell_352,0.5876460767946577
cell_353,0.5893155258764607
cell_354,0.5909849749582637
cell_355,0.5926544240400667
cell_356,0.5943238731218699
cell_357,0.5959933222036728
cell_358,0.5976627712854758
cell_359,0.5993322203672788
cell_360,0.6010016694490818
cell_361,0.6026711185308848
cell_362,0.6043405676126878
cell_363,0.6060100166944908
cell_364,0.6076794657762938
cell_365,0.6093489148580968
cell_366,0.6110183639398998
cell_367,0.6126878130217028
cell_368,0.6143572621035058
cell_369,0.6160267111853088
cell_370,0.6176961602671118
cell_371,0.6193656093489148
cell_372,0.6210350584307179
cell_373,0.6227045075125209
cell_374,0.6243739565943239
cell_375,0.6260434056761269
cell_376,0.6277128547579299
cell_377,0.6293823038397329
cell_378,0.6310517529215359
cell_379,0.6327212020033389
cell_380,0.6343906510851419
cell_381,0.6360601001669449
cell_382,0.6377295492487479
cell_383,0.6393989983305509
cell_384,0.6410684474123539
cell_385,0.6427378964941569
cell_386,0.6444073455759599
cell_387,0.6460767946577629
cell_388,0.6477462437395659
cell_389,0.649415692821369
cell_390,0.651085141903172
cell_391,0.652754590984975
cell_392,0.654424040066778
cell_393,0.656093489148581
cell_394,0.657762938230384
cell_395,0.659432387312187
cell_396,0.66110183639399
cell_397,0.662771285475793
cell_398,0.664440734557596
cell_399,0.666110183639399
cell_400,0.667779632721202
cell_401,0.669449081803005
cell_402,0.671118530884808
cell_403,0.672787979966611
cell_404,0.674457429048414
cell_405,0.6761268781302171
cell_406,0.6777963272120201
cell_407,0.6794657762938231
cell_408,0.6811352253756261
cell_409,0.6828046744574291
cell_410,0.6844741235392321
cell_411,0.6861435726210351
cell_412,0.6878130217028381
cell_413,0.6894824707846411
cell_414,0.6911519198664441
cell_415,0.6928213689482471
cell_416,0.6944908180300501
cell_417,0.6961602671118531
cell_418,0.6978297161936561
cell_419,0.6994991652754591
cell_420,0.7011686143572621
cell_421,0.7028380634390651
cell_422,0.7045075125208682
cell_423,0.7061769616026712
cell_424,0.7078464106844742
cell_425,0.7095158597662772
cell_426,0.7111853088480802
cell_427,0.7128547579298832
cell_428,0.7145242070116862
cell_429,0.7161936560934892
cell_430,0.7178631051752922
cell_431,0.7195325542570952
cell_432,0.7212020033388982
cell_433,0.7228714524207012
cell_434,0.7245409015025042
cell_435,0.7262103505843072
cell_436,0.7278797996661102
cell_437,0.7295492487479132
cell_438,0.7312186978297163
cell_439,0.7328881469115193
cell_440,0.7345575959933223
cell_441,0.7362270450751253
cell_442,0.7378964941569283
cell_443,0.7395659432387313
cell_444,0.7412353923205343
cell_445,0.7429048414023373
cell_446,0.7445742904841403
cell_447,0.7462437395659433
cell_448,0.7479131886477463
cell_449,0.7495826377295493
cell_450,0.7512520868113522
cell_451,0.7529215358931552
cell_452,0.7545909849749582
cell_453,0.7562604340567612
cell_454,0.7579298831385642
cell_455,0.7595993322203674
cell_456,0.7612687813021703
cell_457,0.7629382303839733
cell_458,0.7646076794657763
cell_459,0.7662771285475793
cell_460,0.7679465776293823
cell_461,0.7696160267111853
cell_462,0.7712854757929883
cell_463,0.7729549248747913
cell_464,0.7746243739565943
cell_465,0.7762938230383973
cell_466,0.7779632721202003
cell_467,0.7796327212020033
cell_468,0.7813021702838063
cell_469,0.7829716193656093
cell_470,0.7846410684474123
cell_471,0.7863105175292154
cell_472,0.7879799666110184
cell_473,0.7896494156928214
cell_474,0.7913188647746244
cell_475,0.7929883138564274
cell_476,0.7946577629382304
cell_477,0.7963272120200334
cell_478,0.7979966611018364
cell_479,0.7996661101836394
cell_480,0.8013355592654424
cell_481,0.8030050083472454
cell_482,0.8046744574290484
cell_483,0.8063439065108514
cell_484,0.8080133555926544
cell_485,0.8096828046744574
cell_486,0.8113522537562604
cell_487,0.8130217028380634
cell_488,0.8146911519198665
cell_489,0.8163606010016695
cell_490,0.8180300500834725
cell_491,0.8196994991652755
cell_492,0.8213689482470785
cell_493,0.8230383973288815
cell_494,0.8247078464106845
cell_495,0.8263772954924875
cell_496,0.8280467445742905
cell_497,0.8297161936560935
cell_498,0.8313856427378965
cell_499,0.8330550918196995
cell_500,0.8347245409015025
cell_501,0.8363939899833055
cell_502,0.8380634390651085
cell_503,0.8397328881469115
cell_504,0.8414023372287146
cell_505,0.8430717863105176
cell_506,0.8447412353923206
cell_507,0.8464106844741236
cell_508,0.8480801335559266
cell_509,0.8497495826377296
cell_510,0.8514190317195326
cell_511,0.8530884808013356
cell_512,0.8547579298831386
cell_513,0.8564273789649416
cell_514,0.8580968280467446
cell_515,0.8597662771285476
cell_516,0.8614357262103506
cell_517,0.8631051752921536
cell_518,0.8647746243739566
cell_519,0.8664440734557596
cell_520,0.8681135225375626
cell_521,0.8697829716193657
cell_522,0.8714524207011687
cell_523,0.8731218697829717
cell_524,0.8747913188647747
cell_525,0.8764607679465777
cell_526,0.8781302170283807
cell_527,0.8797996661101837
cell_528,0.8814691151919867
cell_529,0.8831385642737897
cell_530,0.8848080133555927
cell_531,0.8864774624373957
cell_532,0.8881469115191987
cell_533,0.8898163606010017
cell_534,0.8914858096828047
cell_535,0.8931552587646077
cell_536,0.8948247078464107
cell_537,0.8964941569282138
cell_538,0.8981636060100168
cell_539,0.8998330550918198
cell_540,0.9015025041736228
cell_541,0.9031719532554258
cell_542,0.9048414023372288
cell_543,0.9065108514190318
cell_544,0.9081803005008348
cell_545,0.9098497495826378
cell_546,0.9115191986644408
cell_547,0.9131886477462438
cell_548,0.9148580968280468
cell_549,0.9165275459098498
cell_550,0.9181969949916527
cell_551,0.9198664440734557
cell_552,0.9215358931552587
cell_553,0.9232053422370617
cell_554,0.9248747913188649
cell_555,0.9265442404006679
cell_556,0.9282136894824708
cell_557,0.9298831385642738
cell_558,0.9315525876460768
cell_559,0.9332220367278798
cell_560,0.9348914858096828
cell_561,0.9365609348914858
cell_562,0.9382303839732888
cell_563,0.9398998330550918
cell_564,0.9415692821368948
cell_565,0.9432387312186978
cell_566,0.9449081803005008
cell_567,0.9465776293823038
cell_568,0.9482470784641068
cell_569,0.9499165275459098
cell_570,0.9515859766277129
cell_571,0.9532554257095159
cell_572,0.9549248747913189
cell_573,0.9565943238731219
cell_574,0.9582637729549249
cell_575,0.9599332220367279
cell_576,0.9616026711185309
cell_577,0.9632721202003339
cell_578,0.9649415692821369
cell_579,0.9666110183639399
cell_580,0.9682804674457429
cell_581,0.9699499165275459
cell_582,0.9716193656093489
cell_583,0.9732888146911519
cell_584,0.9749582637729549
cell_585,0.9766277128547579
cell_586,0.9782971619365609
cell_587,0.979966611018364
cell_588,0.981636060100167
cell_589,0.98330550918197
cell_590,0.984974958263773
cell_591,0.986644407345576
cell_592,0.988313856427379
cell_593,0.989983305509182
cell_594,0.991652754590985
cell_595,0.993322203672788
cell_596,0.994991652754591
cell_597,0.996661101836394
cell_598,0.998330550918197
cell_599,1.0
